,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,As aventuras de Pinóquio,Carlo Collodi ; trad. rev. e actualiz. de José Colaço Barreiros ; il. Carlos J. Campos,"Porto : Porto Ed., 2020",1,2019 - 1.º Sem.,6 - 8 anos,Literatura,Carlo Collodi , trad. rev. e actualiz. de José Colaço Barreiros ; il. Carlos J. Campos
1,O novelo de emoções,Elizabete Neves ; il. Natalina Cóias,"Porto : Porto Ed., 2019",1,2019 - 1.º Sem.,6 - 8 anos,Literatura,Elizabete Neves , il. Natalina Cóias
2,Saudade : um conto para sete dias,texto Claudio Hochman ; il. João Vaz de Carvalho,"Lisboa : Livros Horizonte, 2019",1,2019 - 1.º Sem.,6 - 8 anos,Literatura,texto Claudio Hochman , il. João Vaz de Carvalho
3,Histórias de animais,"Manuela Guaccio ; il. Federica Nuccio, Roberta Vottero ; adapt. para a língua portuguesa Rita Amaral","Porto : Porto Ed., 2019",1,2019 - 1.º Sem.,6 - 8 anos,Literatura,Manuela Guaccio ," il. Federica Nuccio, Roberta Vottero ; adapt. para a língua portuguesa Rita Amaral"
4,Quito,Roger Ycaza ; trad. Sónia Graça,"[S.l.] : Pato Lógico, 2019",1,2019 - 1.º Sem.,6 - 8 anos,Literatura,Roger Ycaza , trad. Sónia Graça
5,"Petit, o monstro",texto e il. Isol ; trad. Maria Afonso,"Lisboa : Orfeu Negro, 2019",1,2019 - 1.º Sem.,6 - 8 anos,Literatura,texto e il. Isol , trad. Maria Afonso
6,O nascimento do dragão,"história, caligrafia e selos Wang Fei ; texto Marie Sellier ; il. Catherine Louis","Matosinhos : Kalandraka, 2019",1,2019 - 1.º Sem.,6 - 8 anos,Literatura,"história, caligrafia e selos Wang Fei ", texto Marie Sellier ; il. Catherine Louis
7,"Agora não, Tiago",David McKee ; trad. Carla Maia de Almeida,"Matosinhos : Kalandraka, 2019",1,2019 - 1.º Sem.,6 - 8 anos,Literatura,David McKee , trad. Carla Maia de Almeida
8,Degelo,André Letria,"Porto Salvo : Pato lógico, 2019",1,2019 - 1.º Sem.,6 - 8 anos,Literatura,André Letria,
9,Impulso,André Letria,"Porto Salvo : Pato lógico, 2019",1,2019 - 1.º Sem.,6 - 8 anos,Literatura,André Letria,
10,"Eu, Alfonsina",Joan Negrescolor ; trad. Carla Oliveira,"Lisboa : Orfeu Negro, 2019",1,2019 - 1.º Sem.,6 - 8 anos,Literatura,Joan Negrescolor , trad. Carla Oliveira
11,Eleição dos bichos,André Rodrigues... [et al.],"Lisboa : Nuvem de Letras, 2019",1,2019 - 1.º Sem.,6 - 8 anos,Literatura,André Rodrigues... [et al.],
12,O grande e ruim graou,Ingrid Chabbert ; il. Guridi,ISBN: 978-989-8888-41-9,1,2019 - 1.º Sem.,6 - 8 anos,Literatura,Ingrid Chabbert , il. Guridi
13,Quando a tristeza chama,Eva Eland ; trad. Raquel Dutra Lopes,ISBN: 978-972-24-1894-2,1,2019 - 1.º Sem.,6 - 8 anos,Literatura,Eva Eland , trad. Raquel Dutra Lopes
14,"Metade, metade",texto Isabel Minhós Martins ; il. Madalena Matoso,"Carcavelos : Planeta Tangerina, 2019",1,2019 - 1.º Sem.,6 - 8 anos,Literatura,texto Isabel Minhós Martins , il. Madalena Matoso
15,Os pescadores de nuvens,Ana Lázaro ; il. Sebastião Peixoto,"Porto : Porto Ed., 2019",1,2019 - 1.º Sem.,6 - 8 anos,Literatura,Ana Lázaro , il. Sebastião Peixoto
16,Uma aventura no fundo do mar,Ana Maria Magalhães e Isabel Alçada ; il. de Arlindo Fagundes,"Alfragide : Caminho, 2019",1,2019 - 1.º Sem.,6 - 8 anos,Literatura,Ana Maria Magalhães e Isabel Alçada , il. de Arlindo Fagundes
17,Regresso a casa,texto e il. Akiko Miyakoshi ; trad. Nuno Quintas,"Lisboa : Orfeu Negro, 2019",1,2019 - 1.º Sem.,6 - 8 anos,Literatura,texto e il. Akiko Miyakoshi , trad. Nuno Quintas
18,Cornelius : uma  fábula de Leo Lionni ; trad. Gabriela Rocha Alves,Catarina Sobral,"[S.l.] : Pato Lógico, 2019",1,2019 - 1.º Sem.,6 - 8 anos,Literatura,Catarina Sobral,
19,Coimbra,Joseph Kuefler ; trad. Jorge Lima,"Lisboa : Bizâncio, 2019",2,2019 - 1.º Sem.,6 - 8 anos,Literatura,Joseph Kuefler , trad. Jorge Lima
20,A escavadora e a flor,texto e il. Bernardo P. Carvalho,"Carcavelos : Planeta Tangerina, 2019",2,2019 - 1.º Sem.,6 - 8 anos,Literatura,texto e il. Bernardo P. Carvalho,
21,Banana!,texto e il. Alexandra Lucas Coelho,"Lisboa : Alfaguara, 2019",2,2019 - 1.º Sem.,6 - 8 anos,Literatura,texto e il. Alexandra Lucas Coelho,
22,Orlando e o tambor mágico,Cristina Sitja Rubio ; trad. Maria Afonso,"Lisboa : Orfeu Negro, 2019",2,2019 - 1.º Sem.,6 - 8 anos,Literatura,Cristina Sitja Rubio , trad. Maria Afonso
23,Um inverno perfeito,Pedro Mañas ; il. Zuzanna Celej ; trad. Elisabete Ramos,"Matosinhos : Kalandraka, 2019",2,2019 - 1.º Sem.,6 - 8 anos,Literatura,Pedro Mañas , il. Zuzanna Celej ; trad. Elisabete Ramos
24,O segredo do avô urso,texto Carlos Fiolhais ; poemas José Fanha ; mús e interp. Daniel Completo ; il. Cristina Completo,"Sesimbra : Canto das Cores, 2018",2,2019 - 1.º Sem.,6 - 8 anos,Literatura,texto Carlos Fiolhais , poemas José Fanha ; mús e interp. Daniel Completo ; il. Cristina Completo
25,Entre estrelas e estrelinhas : este mundo anda às voltinhas,Vanda Borges Gonçalves ; il. Rui Sousa,"Lisboa : Gradiva, 2018",2,2019 - 1.º Sem.,6 - 8 anos,Literatura,Vanda Borges Gonçalves , il. Rui Sousa
