,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,Uma noite caiu uma estrela : uma história luminosa,David Machado ; il. Paulo Galindro,Lisboa : Nuvem de Letras 2021,1,2017,9 - 11 anos,Literatura,David Machado , il. Paulo Galindro
1,Fábulas de Esopo : (uma seleção),adapt. Alexandra Guimarães ; il. Rodrigo Folgueira,"Porto : Porto Ed., 2019",1,2017,9 - 11 anos,Literatura,adapt. Alexandra Guimarães , il. Rodrigo Folgueira
2,Uma noite caiu uma estrela : uma história luminosa,David Machado ; il. Paulo Galindro,"Lisboa : Alfaguara, 2018",1,2017,9 - 11 anos,Literatura,David Machado , il. Paulo Galindro
3,O cão que comia a chuva,Richard Zimler ; il. Júlio Pomar,"Porto : Porto Ed., 2018",1,2017,9 - 11 anos,Literatura,Richard Zimler , il. Júlio Pomar
4,Clarabóia & outras estórias,Carlos Frias de Carvalho ; il. Fernanda Fragateiro,ISBN: 978-972-22-3156-5,1,2017,9 - 11 anos,Literatura,Carlos Frias de Carvalho , il. Fernanda Fragateiro
5,Quem vê likes não vê corações!,Álvaro Magalhães ; il. Carlos J. Campos,"Porto : Porto Ed., 2016",1,2017,9 - 11 anos,Literatura,Álvaro Magalhães , il. Carlos J. Campos
6,O recado de Rosie,escrito e il. Maurice Sendak ; trad. Carla Maia de Almeida,"Lisboa : Kalandraka, 2016",1,2017,9 - 11 anos,Literatura,escrito e il. Maurice Sendak , trad. Carla Maia de Almeida
7,Os heróis do 6o F,António Mota,"Alfragide : Asa II, 2016",1,2017,9 - 11 anos,Literatura,António Mota,
8,O dia em que os lápis voltaram a casa,Drew Daywalt ; il. Oliver Jeffers ; trad. Rui Lopes,"Lisboa : Orfeu Negro, 2016",1,2017,9 - 11 anos,Literatura,Drew Daywalt , il. Oliver Jeffers ; trad. Rui Lopes
9,A nau catrineta e Bela infanta e outros romances,Almeida Garrett,"Porto : Porto Ed., 2016",1,2017,9 - 11 anos,Literatura,Almeida Garrett,
10,O lobinho,José António Franco,"[S.l.] : Lápis de Memórias, 2016",1,2017,9 - 11 anos,Literatura,José António Franco,
11,Teodósio o menino guerreiro,Alexandre Parafita ; il. José Pedro Costa,"Maia : Livro Directo, 2016",1,2017,9 - 11 anos,Literatura,Alexandre Parafita , il. José Pedro Costa
12,A menina que se chamava Janela,Maria da Conceição Ruivo ; il. Manuela Bacelar,"Porto : Afrontamento, 2016",1,2017,9 - 11 anos,Literatura,Maria da Conceição Ruivo , il. Manuela Bacelar
13,O cão que comia a chuva,Richard Zimler ; il. Júlio Pomar,"Porto : Porto Ed., 2016",1,2017,9 - 11 anos,Literatura,Richard Zimler , il. Júlio Pomar
14,O senhor Nunca e o senhor Jamais,Francisco Duarte Mangas ; il. Maria João Castro,"Porto : Edições Afrontamento, 2016",1,2017,9 - 11 anos,Literatura,Francisco Duarte Mangas , il. Maria João Castro
15,Histórias à solta na minha rua,António Torrado ; il. Cristina Malaquias,"Alfragide : Asa II, 2016",1,2017,9 - 11 anos,Literatura,António Torrado , il. Cristina Malaquias
16,Aventuras da Engrácia,Maria Alberta Menéres ; il. Mariana Melo,"Porto : Porto Ed., 2016",1,2017,9 - 11 anos,Literatura,Maria Alberta Menéres , il. Mariana Melo
17,Milagre de Natal,António Torrado ; il. Tiago Pimentel,"Alfragide : Asa II, 2016",1,2017,9 - 11 anos,Literatura,António Torrado , il. Tiago Pimentel
18,Abada de histórias,António Mota ; il. José Saraiva,"Alfragide : Asa II, 2016",1,2017,9 - 11 anos,Literatura,António Mota , il. José Saraiva
19,Conheces a Pippi das meias altas?,Astrid Lindgren ; il. Ingrid Nyman ; trad. Ana Diniz,"Alfragide : Oficina do Livro, 2016",1,2017,9 - 11 anos,Literatura,Astrid Lindgren , il. Ingrid Nyman ; trad. Ana Diniz
20,Pippi vai ao parque,Astrid Lindgren ; il. Ingrid Nyman ; trad. Ana Diniz,"Alfragide : Oficina do Livro, 2016",2,2017,9 - 11 anos,Literatura,Astrid Lindgren , il. Ingrid Nyman ; trad. Ana Diniz
21,A incrível fuga do meu avô,David Walliams ; il. por Tony Ross ; trad. de Rita Amaral,"Porto : Porto Ed., 2016",2,2017,9 - 11 anos,Literatura,David Walliams , il. por Tony Ross ; trad. de Rita Amaral
22,Era uma vez um alfabeto,texto e il. Oliver Jeffers ; trad. Rui Lopes,"Lisboa : Orfeu Negro, 2016",2,2017,9 - 11 anos,Literatura,texto e il. Oliver Jeffers , trad. Rui Lopes
23,Céu de sardas : uma história para jogar,Inês d'Almey ; il. Alicia Baladan,"Figueira da Foz : Bruaá, 2016",2,2017,9 - 11 anos,Literatura,Inês d'Almey , il. Alicia Baladan
