,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,O urso que não era,Frank Tashlin ; trad. Miguel Gouveia,"Figueira da Foz : Bruaá, 2019",1,2017,6 - 8 anos,Literatura,Frank Tashlin , trad. Miguel Gouveia
1,A última paragem,texto Matt de la Peña ; il. Christian Robinson ; trad. Isabel Neves,ISBN: 978-989-99-7850-8,1,2017,6 - 8 anos,Literatura,texto Matt de la Peña , il. Christian Robinson ; trad. Isabel Neves
2,Como o Grinch roubou o Natal,Dr. Seuss ; trad. José Dias Pires,"Amadora : Booksmile, 2016",1,2017,6 - 8 anos,Literatura,Dr. Seuss , trad. José Dias Pires
3,O urso que não era,Frank Tashlin,"Figueira da Foz : Bruaá, 2016",1,2017,6 - 8 anos,Literatura,Frank Tashlin,
4,Contos tradicionais recontados por António Mota,il. Pedro Pires,"Alfragide : ASA, 2016",1,2017,6 - 8 anos,Literatura,il. Pedro Pires,
5,Tão tão grande,texto e il. Catarina Sobral,"Lisboa : Orfeu Negro, 2016",1,2017,6 - 8 anos,Literatura,texto e il. Catarina Sobral,
6,A rua dos sinais diferentes,José Fanha ; il. Maria Remédio,"Lisboa : Empresa Municipal de Mobilidade e Estacionamento de Lisboa, 2016",1,2017,6 - 8 anos,Literatura,José Fanha , il. Maria Remédio
7,A história de Ferdinando,Munro Leaf ; il. Robert Lawson ; trad. Carla Maia de Almeida,"Matosinhos : Kalandraka, 2016",1,2017,6 - 8 anos,Literatura,Munro Leaf , il. Robert Lawson ; trad. Carla Maia de Almeida
8,A grande viagem do pequeno Mi,"Sandro William Junqueira, Rachel Caiano",ISBN: 978-972-21-2835-3,1,2017,6 - 8 anos,Literatura,"Sandro William Junqueira, Rachel Caiano",
9,Contos completos,"Beatrix Potter ; trad. Eugénia Antunes, Paulo Rêgo","[S.l.] : Pim!, 2016-",1,2017,6 - 8 anos,Literatura,Beatrix Potter ," trad. Eugénia Antunes, Paulo Rêgo"
10,História que há de ser,Manuela Ribeiro ; il. Nídia Nair Marques,"Leiria : Textiverso, 2016",1,2017,6 - 8 anos,Literatura,Manuela Ribeiro , il. Nídia Nair Marques
11,Onde está a minha mãe?,António Mota ; il. Sebastião Peixoto,"Alfragide : Asa II, 2016",1,2017,6 - 8 anos,Literatura,António Mota , il. Sebastião Peixoto
12,Três com Tango,"Justin Richardson, Peter Parnell ; il. Henry Cole ; trad. Gabriela Rocha Alves","Matosinhos : Kalandraka, 2016",1,2017,6 - 8 anos,Literatura,"Justin Richardson, Peter Parnell ", il. Henry Cole ; trad. Gabriela Rocha Alves
13,Ahab e a baleia branca,Manuel Marsol ; trad. Carla Oliveira,ISBN: 978-989-8327-79-6,1,2017,6 - 8 anos,Literatura,Manuel Marsol , trad. Carla Oliveira
14,A árvore da escola,Antonio Sandoval ; il. Emilio Urberuaga ; trad. Elisabete Ramos,"Matosinhos : Kalandraka, 2016",1,2017,6 - 8 anos,Literatura,Antonio Sandoval , il. Emilio Urberuaga ; trad. Elisabete Ramos
15,Faz-de-conta,Clara Cunha + Rachel Caiano,"Lisboa : Livros Horizonte, 2016",1,2017,6 - 8 anos,Literatura,Clara Cunha + Rachel Caiano,
16,Mana,Joana Estrela,"Carcavelos : Planeta Tangerina, 2016",1,2017,6 - 8 anos,Literatura,Joana Estrela,
17,O gato do chapéu,Dr. Seuss ; trad. José Dias Pires,"Amadora : Booksmile, 2016",1,2017,6 - 8 anos,Literatura,Dr. Seuss , trad. José Dias Pires
18,História verdadeira e triste de seis homens que procuravam a paz,David Mckee ; trad. Eurídice Gomes,"Lisboa : Nuvem de Letras, 2016",1,2017,6 - 8 anos,Literatura,David Mckee , trad. Eurídice Gomes
19,Ovos verdes e presunto,Dr. Seuss ; trad. José Dias Pires,"Amadora : Booksmile, 2016",1,2017,6 - 8 anos,Literatura,Dr. Seuss , trad. José Dias Pires
20,Palavras viageiras,João Pedro Mésseder ; il. Paul Hardman,ISBN: 978-989-20-6862-6,2,2017,6 - 8 anos,Literatura,João Pedro Mésseder , il. Paul Hardman
21,A cruzada das crianças : (vamos mudar o mundo),Afonso Cruz,"Lisboa : Alfaguara, 2015",2,2017,6 - 8 anos,Literatura,Afonso Cruz,
22,Perdida de riso,Graça Breia ; il. Raquel Pinheiro,"Cascais : CERCICA - Cooperativa para a Educação e a Reabilitação de Cidadãos Inadaptados de Cascais, 2012",2,2017,6 - 8 anos,Literatura,Graça Breia , il. Raquel Pinheiro
23,Conversas com versos,Maria Alberta Menéres ; il. Rui Castro,"Porto : Asa, 2006",2,2017,6 - 8 anos,Literatura,Maria Alberta Menéres , il. Rui Castro
