,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,Cartas reencontradas de Fernando Pessoa a Mário de Sá-Carneiro,[transcrição] Pedro Eiras,"Porto : Assírio & Alvim, 2019",1,2017,15 - 18 anos,Literatura,[transcrição] Pedro Eiras,
1,Ficções escolhidas,José de Almada Negreiros ; ed. Fernando Cabral Martins... [et al.],"Porto : Assírio & Alvim, 2019",1,2017,15 - 18 anos,Literatura,José de Almada Negreiros , ed. Fernando Cabral Martins... [et al.]
2,As pupilas do senhor Reitor,Júlio Dinis ; il. Roque Gameiro,"Lisboa : Guerra e Paz, 2017",1,2017,15 - 18 anos,Literatura,Júlio Dinis , il. Roque Gameiro
3,Ficções escolhidas,José de Almada Negreiros ; ed. Fernando Cabral Martins... [et al.],"Porto : Assírio & Alvim, 2016",1,2017,15 - 18 anos,Literatura,José de Almada Negreiros , ed. Fernando Cabral Martins... [et al.]
4,Prosa,Mário de Sá Carneiro,"Alfragide : Dom Quixote, 2016",1,2017,15 - 18 anos,Literatura,Mário de Sá Carneiro,
5,O Egipto e outros textos sobre o Médio Oriente,Eça de Queiroz ; pref. Maria Filomena Mónica,ISBN: 978-989-641-605-8,1,2017,15 - 18 anos,Literatura,Eça de Queiroz , pref. Maria Filomena Mónica
6,Vasto Mar de Sargaços : romance,Jean Rhys ; trad. de José Carlos Costa Marques,ISBN: 978-989-641-642-3,1,2017,15 - 18 anos,Literatura,Jean Rhys , trad. de José Carlos Costa Marques
7,Tempos difíceis : para estes tempos,Charles Dickens ; posf. de Bernard Shaw ; trad. e notas de Daniel Jonas,ISBN: 978-989-641-654-6,1,2017,15 - 18 anos,Literatura,Charles Dickens , posf. de Bernard Shaw ; trad. e notas de Daniel Jonas
8,Os jardins de luz,Amin Maalouf ; trad. Paula Caetano,"Barcarena : Marcador, 2016",1,2017,15 - 18 anos,Literatura,Amin Maalouf , trad. Paula Caetano
9,Muito barulho por nada,William Shakespeare ; trad. Sophia de Mello Breyner Andresen ; pref. Luis Miguel Cintra ; introd. João Almeida Flor,"Porto : Assírio & Alvim, 2016",1,2017,15 - 18 anos,Literatura,William Shakespeare , trad. Sophia de Mello Breyner Andresen ; pref. Luis Miguel Cintra ; introd. João Almeida Flor
10,A menina sem estrela : memórias,Nelson Rodrigues,"Lisboa : Tinta-da-China, 2016",1,2017,15 - 18 anos,Literatura,Nelson Rodrigues,
11,Amor de perdição,Camilo Castelo Branco ; com textos de época Manuel Pinheiro Chagas e Ramalho Ortigão ; fixação de texto e nota introd. Helder Guégués ; cronologia cultural e apresent. das personagens André Morgado,"Lisboa : Guerra e Paz, 2016",1,2017,15 - 18 anos,Literatura,Camilo Castelo Branco , com textos de época Manuel Pinheiro Chagas e Ramalho Ortigão ; fixação de texto e nota introd. Helder Guégués ; cronologia cultural e apresent. das personagens André Morgado
12,A memória de Shakespeare e nove ensaios dantescos,"Jorge Luis Borges ; trad. Cristina Rodriguez, Artur Guerra","Lisboa : Quetzal, 2016",1,2017,15 - 18 anos,Literatura,Jorge Luis Borges ," trad. Cristina Rodriguez, Artur Guerra"
13,O manto,"Agustina Bessa-Luís ; fixação do texto Manuel Vieira da Cruz, Luís Abel Ferreira",ISBN: 978-972-665-711-8,1,2017,15 - 18 anos,Literatura,Agustina Bessa-Luís ," fixação do texto Manuel Vieira da Cruz, Luís Abel Ferreira"
14,Céu nublado com boas abertas,Nuno Costa Santos,"Lisboa : Quetzal, 2016",1,2017,15 - 18 anos,Literatura,Nuno Costa Santos,
15,"A doença, o sofrimento e a morte entram num bar : uma espécie de manual de escrita humorística",Ricardo Arújo Pereira,"Lisboa : Tinta-da-China, 2016",1,2017,15 - 18 anos,Literatura,Ricardo Arújo Pereira,
16,Missa in albis,Maria Velho da Costa ; pref. Manuel Gusmão,"Porto : Assírio & Alvim, 2016",1,2017,15 - 18 anos,Literatura,Maria Velho da Costa , pref. Manuel Gusmão
17,Deus-dará,Alexandra Lucas Coelho,"Lisboa : Tinta-da-China, 2016",1,2017,15 - 18 anos,Literatura,Alexandra Lucas Coelho,
18,Macaco infinito,Manuel Jorge Marmelo,"Lisboa : Quetzal, 2016",1,2017,15 - 18 anos,Literatura,Manuel Jorge Marmelo,
19,Os vampiros,"Filipe Melo, Juan Cavia","Lisboa : Tinta-da-China, 2016",1,2017,15 - 18 anos,Literatura,"Filipe Melo, Juan Cavia",
20,O jogador : memórias de um jovem,Fiódor Dostoievski ; trad. e notas António Pescada,ISBN: 978-989-641-665-2,2,2017,15 - 18 anos,Literatura,Fiódor Dostoievski , trad. e notas António Pescada
21,Manual para mulheres de limpeza,Lucia Berlin ; pref. Lydia Davis ; sel. e introd. Stephen Emerson ; trad. Rita Canas Mendes,"Lisboa : Alfaguara, 2016",2,2017,15 - 18 anos,Literatura,Lucia Berlin , pref. Lydia Davis ; sel. e introd. Stephen Emerson ; trad. Rita Canas Mendes
22,A resistência,Julián Fuks,"Loulé : Companhia das Letras, 2016",2,2017,15 - 18 anos,Literatura,Julián Fuks,
23,Lavoura arcaica,Raduan Nassar,"Lisboa : Companhia das Letras, 2016",2,2017,15 - 18 anos,Literatura,Raduan Nassar,
24,Memórias póstumas de Brás Cubas,Machado de Assis,"Lisboa : Guerra & Paz, 2016",2,2017,15 - 18 anos,Literatura,Machado de Assis,
25,Luz em Agosto,William Faulkner ; trad. Ana Maria Chaves,"Alfragide : Dom Quixote, 2016",2,2017,15 - 18 anos,Literatura,William Faulkner , trad. Ana Maria Chaves
26,O fim da aventura,Graham Greene ; trad. Jorge de Sena,"Alfragide : Dom Quixote, 2016",2,2017,15 - 18 anos,Literatura,Graham Greene , trad. Jorge de Sena
27,O ruído do tempo,Julian Barnes ; trad. Helena Cardoso,"Lisboa : Quetzal, 2016",2,2017,15 - 18 anos,Literatura,Julian Barnes , trad. Helena Cardoso
28,Num estado livre,V. S. Naipaul ; trad. de José Vieira de Lima,"Lisboa : Quetzal, 2016",2,2017,15 - 18 anos,Literatura,V. S. Naipaul , trad. de José Vieira de Lima
29,Manifestos,José de Almada Negreiros ; ed. Fernando Cabral Martins... [et al.],"Porto : Assírio & Alvim, 2016",2,2017,15 - 18 anos,Literatura,José de Almada Negreiros , ed. Fernando Cabral Martins... [et al.]
30,Madame Bovary,Gustave Flaubert ; trad. Helder Guégués,"Lisboa : Guerra e Paz, 2016",2,2017,15 - 18 anos,Literatura,Gustave Flaubert , trad. Helder Guégués
31,A sul de nenhum norte,Charles Bukowski ; trad. Vasco Gato,[S.l.] : Alfaguara 2016,2,2017,15 - 18 anos,Literatura,Charles Bukowski , trad. Vasco Gato
32,Retalhos da vida de um médico : narrativas,"Fernando Namora ; dir. José Manuel Mendes ; pref. Eduardo Lourenço, Gregório Marañón ; posf. Francisco George",ISBN: 978-972-21-2819-3,2,2017,15 - 18 anos,Literatura,Fernando Namora ," dir. José Manuel Mendes ; pref. Eduardo Lourenço, Gregório Marañón ; posf. Francisco George"
33,Quinze cães,André Alexis ; trad. Elsa T. S. Vieira,"Alfragide : Lua de Papel, 2016",2,2017,15 - 18 anos,Literatura,André Alexis , trad. Elsa T. S. Vieira
34,Um Verão com Montaigne,Antoigne Compagnon ; trad. José Goulão,"Lisboa : Gradiva, 2016",2,2017,15 - 18 anos,Literatura,Antoigne Compagnon , trad. José Goulão
35,Não se pode morar nos olhos de um gato,Ana Margarida de Carvalho,"Alfragide : Teorema, 2016",2,2017,15 - 18 anos,Literatura,Ana Margarida de Carvalho,
36,1000 frases de Vergílio Ferreira,org. Luís Naves,ISBN: 978-989-722-272-6,2,2017,15 - 18 anos,Literatura,org. Luís Naves,
37,Um copo de cólera,Raduan Nassar,"Lisboa : Companhia das Letras, 2016",2,2017,15 - 18 anos,Literatura,Raduan Nassar,
38,Trilogia da mão,Mário Cláudio,"Lisboa : Dom Quixote, 2016",2,2017,15 - 18 anos,Literatura,Mário Cláudio,
39,Um longo caminho,Linda Sue Park ; trad. Susana Serrão,"Lisboa : Zero a Oito, 2016",2,2017,15 - 18 anos,Literatura,Linda Sue Park , trad. Susana Serrão
40,As coisas que os homens me explicam,Rebecca Solnit ; imagens Ana Teresa Fernandez ; trad. Tânia Ganho,"Lisboa : Quetzal, 2016",3,2017,15 - 18 anos,Literatura,Rebecca Solnit , imagens Ana Teresa Fernandez ; trad. Tânia Ganho
41,Hinário nacional,Marcelo Quintanilha,ISBN: 978-989-8513-58-8,3,2017,15 - 18 anos,Literatura,Marcelo Quintanilha,
42,Fealdade de Fabiano Gorila ; seguido de Granadilha e de três minutos de Linhas,Marcelo Quintanilha,ISBN: 978-989-8513-61-8,3,2017,15 - 18 anos,Literatura,Marcelo Quintanilha,
43,Guadalupe : uma roadtrip fantástica,"de Angélica Freitas, Odyr",ISBN: 978-989-8513-28-1,3,2017,15 - 18 anos,Literatura,"de Angélica Freitas, Odyr",
44,Um postal de Detroit,João Ricardo Pedro,"Alfragide : Dom Quixote, 2016",3,2017,15 - 18 anos,Literatura,João Ricardo Pedro,
45,Chega de saudade : a história e as histórias da Bossa Nova,Ruy Castro,"Lisboa : Tinta-da-China, 2016",3,2017,15 - 18 anos,Literatura,Ruy Castro,
46,Cartas reencontradas de Fernando Pessoa a Mário de Sá-Carneiro,[transcrição] Pedro Eiras,"Porto : Assírio & Alvim, 2016",3,2017,15 - 18 anos,Literatura,[transcrição] Pedro Eiras,
47,Contos de Nick Adams,Ernest Hemingway ; trad. de Fernanda Pinto Rodrigues e Alexandre P. Torres,"[Porto] : Livros do Brasil, 2015",3,2017,15 - 18 anos,Literatura,Ernest Hemingway , trad. de Fernanda Pinto Rodrigues e Alexandre P. Torres
48,Tudo o que conta,James Salter ; trad. Francisco Agarez,"[Porto] : Livros do Brasil, 2015",3,2017,15 - 18 anos,Literatura,James Salter , trad. Francisco Agarez
49,A viúva do enforcado,Camilo Castelo Branco,"Lisboa : Sistema Solar, 2015",3,2017,15 - 18 anos,Literatura,Camilo Castelo Branco,
50,Retrato do artista quando jovem cão e outras histórias : ficção completa,Dylan Thomas ; trad. de José Lima,"Lisboa : Livros do Brasil, 2015",3,2017,15 - 18 anos,Literatura,Dylan Thomas , trad. de José Lima
51,No silêncio da guerra,James Riordan ; trad. Francisco Silva Pereira,ISBN: 978-972-22-3160-2,3,2017,15 - 18 anos,Literatura,James Riordan , trad. Francisco Silva Pereira
