,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,O Jaime é uma sereia,Jessica Love ; trad. Susana Cardoso Ferreira,"Amadora : Fábula, 2020",1,2020 - 1.º Sem.,6 - 8 anos,Literatura,Jessica Love , trad. Susana Cardoso Ferreira
1,O protesto,texto e il. Eduarda Lima,"Lisboa : Orfeu Negro, 2020",1,2020 - 1.º Sem.,6 - 8 anos,Literatura,texto e il. Eduarda Lima,
2,Histórias das mil e uma noites,adapt. Amy Steedman ; il. Weberson Santiago ; trad. Anima El Guendy,"Porto : Porto Ed., 2020",1,2020 - 1.º Sem.,6 - 8 anos,Literatura,adapt. Amy Steedman , il. Weberson Santiago ; trad. Anima El Guendy
3,"Olá, Farol",Sophie Blackall ; trad. Susana Cardoso Ferreira,"Amadora : Fábula, 2020",1,2020 - 1.º Sem.,6 - 8 anos,Literatura,Sophie Blackall , trad. Susana Cardoso Ferreira
4,Endireita-te,Rémi Courgeon ; trad. Maria Afonso,"Lisboa : Orfeu Negro, 2020",1,2020 - 1.º Sem.,6 - 8 anos,Literatura,Rémi Courgeon , trad. Maria Afonso
5,"1.o Direito : uma história com intriga, muitas janelas e uma graça indiscreta",Ricardo Henriques e Nicolau,"[Lisboa] : Pato Lógico, 2020",1,2020 - 1.º Sem.,6 - 8 anos,Literatura,Ricardo Henriques e Nicolau,
6,Os vizinhos,Einat Tsarfati ; trad. Liba Mucznik,"Amadora : Fábula, 2020",1,2020 - 1.º Sem.,6 - 8 anos,Literatura,Einat Tsarfati , trad. Liba Mucznik
7,Para que serve?,José Maria Vieira Mendes ; il. Madalena Matoso,"Carcavelos : Planeta Tangerina, 2020",1,2020 - 1.º Sem.,6 - 8 anos,Literatura,José Maria Vieira Mendes , il. Madalena Matoso
8,O que fazer com um problema?,texto Kobi Yamada ; il. Mae Besom ; trad. Dália Rodrigues,"Lisboa : Zero a Oito, 2020",1,2020 - 1.º Sem.,6 - 8 anos,Literatura,texto Kobi Yamada , il. Mae Besom ; trad. Dália Rodrigues
9,O que fazer com uma ideia?,texto Kobi Yamada ; il. Mae Besom ; trad. Dália Rodrigues,"Lisboa : Zero a Oito, 2020",1,2020 - 1.º Sem.,6 - 8 anos,Literatura,texto Kobi Yamada , il. Mae Besom ; trad. Dália Rodrigues
10,O muro no meio do livro,Jon Agee ; trad. Joana Gonçalves,"Lisboa : Nuvem de Letras, 2020",1,2020 - 1.º Sem.,6 - 8 anos,Literatura,Jon Agee , trad. Joana Gonçalves
11,Onde começa a felicidade,Eva Eland ; trad. Rosa Machado,"Lisboa : Horizonte, 2020",1,2020 - 1.º Sem.,6 - 8 anos,Literatura,Eva Eland , trad. Rosa Machado
12,Gosto de ti (quase sempre),Anna LLenas ; adapt. port. Cristiana Neves,"Porto : Porto Ed., 2020",1,2020 - 1.º Sem.,6 - 8 anos,Literatura,Anna LLenas , adapt. port. Cristiana Neves
13,Perdidos e achados,Emily Rand ; trad. João Berhan,"Lisboa : Orfeu Negro, 2020",1,2020 - 1.º Sem.,6 - 8 anos,Literatura,Emily Rand , trad. João Berhan
14,À procura de ontem,Alison Jay ; trad. de Luísa Costa Gomes,"Amadora : Fábula, 2020",1,2020 - 1.º Sem.,6 - 8 anos,Literatura,Alison Jay , trad. de Luísa Costa Gomes
15,Pássaro amarelo,Olga de Dios ; trad. Rosa Machado,"Lisboa : Livros Horizonte, 2020",1,2020 - 1.º Sem.,6 - 8 anos,Literatura,Olga de Dios , trad. Rosa Machado
16,Os pássaros,"Germano Zullo, Albertine ; trad. Maria Afonso","Lisboa : Orfeu Negro, 2020",1,2020 - 1.º Sem.,6 - 8 anos,Literatura,"Germano Zullo, Albertine ", trad. Maria Afonso
17,Pedrês : a galinha bailarina,Patrícia Martins ; il. Catarina Gomes,ISBN: 978-972-24-1947-5,1,2020 - 1.º Sem.,6 - 8 anos,Literatura,Patrícia Martins , il. Catarina Gomes
18,A abelha,texto Kisten Hall ; il. Isabelle Arsenault ; trad. João Berhan,"Lisboa : Orfeu Negro, 2020",1,2020 - 1.º Sem.,6 - 8 anos,Literatura,texto Kisten Hall , il. Isabelle Arsenault ; trad. João Berhan
19,Outro,Christian Robinson,"Lisboa : Orfeu Negro, 2020",1,2020 - 1.º Sem.,6 - 8 anos,Literatura,Christian Robinson,
20,Quando me sinto...,texto e il. de Trace Moroney,"Porto : Porto Ed., 2019",2,2020 - 1.º Sem.,6 - 8 anos,Literatura,texto e il. de Trace Moroney,
21,O Jorge e a sua sombra,"Davide Cali, Serge Bloch ; trad. Filipa Velosa",ISBN: 978-84-17222-54-3,2,2020 - 1.º Sem.,6 - 8 anos,Literatura,"Davide Cali, Serge Bloch ", trad. Filipa Velosa
22,Em casa,Inês Almeida e Nicholas Carvalho,"Lisboa : Casa Nic e Inês, 2019",2,2020 - 1.º Sem.,6 - 8 anos,Literatura,Inês Almeida e Nicholas Carvalho,
23,Um abraço,"Eoin McLaughlin, Polly Dunbar ; trad. Maria Leitão","Amadora : Booksmile, 2020 [i.e. 2019]",2,2020 - 1.º Sem.,6 - 8 anos,Literatura,"Eoin McLaughlin, Polly Dunbar ", trad. Maria Leitão
24,Troca-tintas,Gonçalo Viana,"Lisboa : Orfeu Negro, 2019",2,2020 - 1.º Sem.,6 - 8 anos,Literatura,Gonçalo Viana,
25,As meninas exemplares,Condessa de Ségur ; trad. Isabel Lopes ; il. Bertall,"Lisboa : Guerra e Paz, 2019",2,2020 - 1.º Sem.,6 - 8 anos,Literatura,Condessa de Ségur , trad. Isabel Lopes ; il. Bertall
26,Histórias de chocolate,texto José Jorge Letria ; il. Célia Fernandes,"Alfragide : Dom Quixote, 2019",2,2020 - 1.º Sem.,6 - 8 anos,Literatura,texto José Jorge Letria , il. Célia Fernandes
27,Girassol,Inês Almeida e Nicholas Carvalho,"Lisboa : Casa Nic e Inês, 2019",2,2020 - 1.º Sem.,6 - 8 anos,Literatura,Inês Almeida e Nicholas Carvalho,
28,História ilustrada do rock,Susana Monteagudo ; [il.] Luis Demano ; trad. João Berhan,"Lisboa : Orfeu Negro, 2019",2,2020 - 1.º Sem.,6 - 8 anos,Literatura,Susana Monteagudo , [il.] Luis Demano ; trad. João Berhan
29,O segredo da poção mágica,"Olivier Gay ; des. Fabrice Tarrin ; cor Thierry Mébarki ; segundo um filme Louis Clichy e Alexandre Astier ; trad. e adapt. Maria José Pereira, Paula Caetano","Alfragide : Asa II, 2019",2,2020 - 1.º Sem.,6 - 8 anos,Literatura,Olivier Gay ," des. Fabrice Tarrin ; cor Thierry Mébarki ; segundo um filme Louis Clichy e Alexandre Astier ; trad. e adapt. Maria José Pereira, Paula Caetano"
30,Histórias da Maria-dos-olhos-grandes e do Zé Pimpão,Jorge Canuto Glória ; il. Rita Correia,"Lisboa : The Poets and Dragons Society, 2019",2,2020 - 1.º Sem.,6 - 8 anos,Literatura,Jorge Canuto Glória , il. Rita Correia
31,Histórias da Maria-dos-olhos-grandes e do Zé Pimpão,Jorge Canuto Glória ; il. Rita Correia,"Lisboa : The Poets and Dragons Society, 2019",2,2020 - 1.º Sem.,6 - 8 anos,Literatura,Jorge Canuto Glória , il. Rita Correia
32,Bonita,Canizales ; trad. Rosa Machado,ISBN: 978-972-24-1907-9,2,2020 - 1.º Sem.,6 - 8 anos,Literatura,Canizales , trad. Rosa Machado
33,Os colegas não são para comer!,Ryan T. Higgins ; trad. Helena Rafael,"Lisboa : Gradiva, 2019",2,2020 - 1.º Sem.,6 - 8 anos,Literatura,Ryan T. Higgins , trad. Helena Rafael
34,O medo o que é?,texto José Jorge Letria ; il. Catarina Correia Marques,"Alfragide : Texto, 2018",2,2020 - 1.º Sem.,6 - 8 anos,Literatura,texto José Jorge Letria , il. Catarina Correia Marques
35,O sapo é o sapo,Max Velthuijs ; trad. Zero a oito,"Lisboa : Zero a Oito, 2018",2,2020 - 1.º Sem.,6 - 8 anos,Literatura,Max Velthuijs , trad. Zero a oito
36,Riscarriscos,texto de Clara Cunha ; il. de Marta Madureira,"Lisboa : Livros Horizonte, 2018",2,2020 - 1.º Sem.,6 - 8 anos,Literatura,texto de Clara Cunha , il. de Marta Madureira
37,Canções do ar e das coisas altas,João Pedro Mésseder e Rachel Caiano,"Alfragide : Caminho, 2018",2,2020 - 1.º Sem.,6 - 8 anos,Literatura,João Pedro Mésseder e Rachel Caiano,
38,O sapo está triste,Max Velthuijs ; trad. Zero a oito,"Lisboa : Zero a Oito, 2018",2,2020 - 1.º Sem.,6 - 8 anos,Literatura,Max Velthuijs , trad. Zero a oito
39,João Timoneiro,texto e il. Madalena Moniz,"Lisboa : Orfeu Negro, 2018",2,2020 - 1.º Sem.,6 - 8 anos,Literatura,texto e il. Madalena Moniz,
