,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,O dia em que me tornei pássaro,Ingrid Chabbert ; il. Raúl Nieto Guridi ; trad. Elisabete Rosa-Machado,"[S.l.] : The Poets and Dragons Society, 2022",1,2018 - 2.º Sem.,9 - 11 anos,Literatura,Ingrid Chabbert , il. Raúl Nieto Guridi ; trad. Elisabete Rosa-Machado
1,A princesinha,Frances Burnett ; trad. A. A. Costa,"Lisboa : Bertrand, 2018",1,2018 - 2.º Sem.,9 - 11 anos,Literatura,Frances Burnett , trad. A. A. Costa
2,Uma aventura no Palácio das Janelas Verdes,"Ana Maria Magalhães, Isabel Alçada ; il. de Arlindo Fagundes","Alfragide : Caminho, imp. 2018",1,2018 - 2.º Sem.,9 - 11 anos,Literatura,"Ana Maria Magalhães, Isabel Alçada ", il. de Arlindo Fagundes
3,O narciso com pelos no nariz,texto de Andreia Penso Pereira ; il. Ana Granado,"Lisboa : Zero a Oito : Pingo Doce, 2018",1,2018 - 2.º Sem.,9 - 11 anos,Literatura,texto de Andreia Penso Pereira , il. Ana Granado
4,O Pai Natal que não comia queijo ou O Pai Natal das memórias,Isabel Zambujal ; il. Susana Antão,"Alfragide : Oficina do Livro, 2018",1,2018 - 2.º Sem.,9 - 11 anos,Literatura,Isabel Zambujal , il. Susana Antão
5,Contos de encantar,E. E. Cummings ; il. Rachel Caiano ; trad. Hélia Correia,"Lisboa : Ponto de Fuga, 2018",1,2018 - 2.º Sem.,9 - 11 anos,Literatura,E. E. Cummings , il. Rachel Caiano ; trad. Hélia Correia
6,Dentro de uma caixa,José Jorge Letria ; il. Ana Afonso,"Alfragide : Caminho, 2018",1,2018 - 2.º Sem.,9 - 11 anos,Literatura,José Jorge Letria , il. Ana Afonso
7,O secador de livros,texto Carla Maia de Almeida ; il. Sebastião Peixoto,"Alfragide : Caminho, 2018",1,2018 - 2.º Sem.,9 - 11 anos,Literatura,texto Carla Maia de Almeida , il. Sebastião Peixoto
8,Alerta no megaconcerto,"Ana Maria Magalhães, Isabel Alçada ; il. Jaime Ferraz","Alfragide : Caminho, 2018",1,2018 - 2.º Sem.,9 - 11 anos,Literatura,"Ana Maria Magalhães, Isabel Alçada ", il. Jaime Ferraz
9,Quando o regato secou,António Mota ; il. Sebastião Peixoto,"Alfragide : Asa II, 2018",1,2018 - 2.º Sem.,9 - 11 anos,Literatura,António Mota , il. Sebastião Peixoto
10,O Homem de Ferro,Ted Hughes ; il. Andrew Davidson ; trad. Sara Vieira,"Lisboa : Ponto de Fuga, 2018",1,2018 - 2.º Sem.,9 - 11 anos,Literatura,Ted Hughes , il. Andrew Davidson ; trad. Sara Vieira
11,O lápis surdo sou eu,Ramiro S. Osório,ISBN: 9789895406609,1,2018 - 2.º Sem.,9 - 11 anos,Literatura,Ramiro S. Osório,
12,O Pintas e o mistério dos sapatos desaparecidos,João Cunha Silva ; il. Vanessa Ribeiro  ,ISBN: 978-989-8888-33-4,1,2018 - 2.º Sem.,9 - 11 anos,Literatura,João Cunha Silva , il. Vanessa Ribeiro  
