,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,Alice no país das maravilhas,Lewis Carroll ; trad. Maria Filomena Duarte,"Porto : Porto Ed., 2019",1,2019 - 2.o Sem.,12 - 14 anos,Literatura,Lewis Carroll , trad. Maria Filomena Duarte
1,Quando Hitler roubou o coelho cor-de-rosa,Judith Kerr ; trad. e pref. de Carla Maia de Almeida,"Amadora : Fábula, 2019",1,2019 - 2.o Sem.,12 - 14 anos,Literatura,Judith Kerr , trad. e pref. de Carla Maia de Almeida
2,Veloz como o vento,Gine Victor ; trad. Herberto Helder,"Lisboa : Ponto de Fuga, 2019",1,2019 - 2.o Sem.,12 - 14 anos,Literatura,Gine Victor , trad. Herberto Helder
3,A teia de Carlota,E. B. White ; il. Garth Williams ; trad. Carla Maia de Almeida,"Amadora : Fábula, 2019",1,2019 - 2.o Sem.,12 - 14 anos,Literatura,E. B. White , il. Garth Williams ; trad. Carla Maia de Almeida
4,Vinte horas de liteira,Camilo Castelo Branco ; coord. Carlos Reis ; introd. e nota bibliográfica Maria Fernanda de Abreu,ISBN: 978-972-27-2020-5,1,2019 - 2.o Sem.,12 - 14 anos,Literatura,Camilo Castelo Branco , coord. Carlos Reis ; introd. e nota bibliográfica Maria Fernanda de Abreu
5,"Vento, areia e amoras bravas : (dentes de rato-II parte)",Agustina Bessa-Luís ; il. Mónica Baldaque,"Lisboa : Relógio D'Água, cop. 2019",1,2019 - 2.o Sem.,12 - 14 anos,Literatura,Agustina Bessa-Luís , il. Mónica Baldaque
6,Alice no país das maravilhas,Lewis Carroll ; trad. e pref. Carla Maia de Almeida,"Amadora : Fábula, 2019",1,2019 - 2.o Sem.,12 - 14 anos,Literatura,Lewis Carroll , trad. e pref. Carla Maia de Almeida
7,Estamos todos na sarjeta com João e Rui,Maurice Sendak ; trad. Carla Maia de Almeida,"Matosinhos : Kalandraka, 2019",1,2019 - 2.o Sem.,12 - 14 anos,Literatura,Maurice Sendak , trad. Carla Maia de Almeida
8,Jim curioso : viagem através da selva,Mathias Picard ; trad. Miguel Nunes,ISBN: 978-989-8513-99-1,1,2019 - 2.o Sem.,12 - 14 anos,Literatura,Mathias Picard , trad. Miguel Nunes
9,O pedaço que falta,Shel Silverstein ; trad. Susana Ferreira,"[S.l.] : Bertrand, 2019",1,2019 - 2.o Sem.,12 - 14 anos,Literatura,Shel Silverstein , trad. Susana Ferreira
10,Grande,André Ducci,ISBN: 978-989-8513-14-4,1,2019 - 2.o Sem.,12 - 14 anos,Literatura,André Ducci,
11,Koiza,David Walliams ; il. Tony Ross ; trad. Rita Amaral,"Porto : Porto Ed., 2019",1,2019 - 2.o Sem.,12 - 14 anos,Literatura,David Walliams , il. Tony Ross ; trad. Rita Amaral
12,Jack Dash e a pena mágica,Sophie Plowden ; il. Judy Brown ; trad. Isabel Canhoto,"Lisboa : Planeta, 2019",1,2019 - 2.o Sem.,12 - 14 anos,Literatura,Sophie Plowden , il. Judy Brown ; trad. Isabel Canhoto
13,"Se és sabichão... recicla, pois então!",texto e il. dos Alunos da ES 2.3 D. Filipa de Lencastre,"Castelo de Vide : Cabeçudos, 2019",1,2019 - 2.o Sem.,12 - 14 anos,Literatura,texto e il. dos Alunos da ES 2.3 D. Filipa de Lencastre,
14,A árvore que paria meninos,texto e il. Marco Taylor,"[S.l.] : M. Taylor, 2019",1,2019 - 2.o Sem.,12 - 14 anos,Literatura,texto e il. Marco Taylor,
15,"Manifestos, textos críticos e afins","Mário-Henrique Leiria ; introd., org. e notas Tania Martuscelli","Silveira : E-Primatur, 2019",1,2019 - 2.o Sem.,12 - 14 anos,Literatura,Mário-Henrique Leiria ," introd., org. e notas Tania Martuscelli"
16,O livro dos gatos práticos do velho gambá,T. S. Eliot ; desenhos de Edward Gorey ; trad. Daniel Jonas,"Porto : Assírio & Alvim, 2019",1,2019 - 2.o Sem.,12 - 14 anos,Literatura,T. S. Eliot , desenhos de Edward Gorey ; trad. Daniel Jonas
17,Os três mosqueteiros,Alexandre Dumas ; trad. e notas Júlia Ferreira e José Cláudio,ISBN: 978-989-641-940-0,1,2019 - 2.o Sem.,12 - 14 anos,Literatura,Alexandre Dumas , trad. e notas Júlia Ferreira e José Cláudio
18,O som das cores,Jimmy Liao ; trad. Ana M. Noronha e Domenica Ignomeriello,"Matosinhos : Kalandraka, 2019",1,2019 - 2.o Sem.,12 - 14 anos,Literatura,Jimmy Liao , trad. Ana M. Noronha e Domenica Ignomeriello
19,Os leitores perguntam : Padre António Vieira responde : conselhos sábios do imperador da língua portuguesa,org. Aida Sampaio Lemos... [et al.],"[Lisboa] : Temas e Debates : Círculo de Leitores, 2019",1,2019 - 2.o Sem.,12 - 14 anos,Literatura,org. Aida Sampaio Lemos... [et al.],
