,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,[Os nossos antepassados],Italo Calvino ; trad. de José Manuel Calafate,ISBN: 978-972-20-5919-0,1,Antes 2017,12 - 14 anos,Literatura,Italo Calvino , trad. de José Manuel Calafate
1,Cartas da Beatriz,Maria Teresa Maia Gonzalez,"Lisboa : Letrarium, 2022",1,Antes 2017,12 - 14 anos,Literatura,Maria Teresa Maia Gonzalez,
2,A mãe : romance,Pearl S. Buck ; trad. Isabel Risques,"Alfragide : Dom Quixote, 2021",1,Antes 2017,12 - 14 anos,Literatura,Pearl S. Buck , trad. Isabel Risques
3,Finalmente o Verão,"Mariko Tamaki, Jillian Tamaki ; trad. Isabel Minhós Martins","Carcavelos : Planeta Tangerina, 2020",1,Antes 2017,12 - 14 anos,Literatura,"Mariko Tamaki, Jillian Tamaki ", trad. Isabel Minhós Martins
4,O rapaz do rio,Tim Bowler ; trad. Catarina Belo,"Lisboa : Presença, 2019",1,Antes 2017,12 - 14 anos,Literatura,Tim Bowler , trad. Catarina Belo
5,O livro das lendas,Selma Lagerlof ; trad. Pepita de Leão,ISBN: 978-972-38-2924-2,1,Antes 2017,12 - 14 anos,Literatura,Selma Lagerlof , trad. Pepita de Leão
6,The beggining,Paula Carballeira ; il. Sonja Danowski ; transl. Jon Brokenbrow,"Pontevedra : Kalandraka, 2012",1,Antes 2017,12 - 14 anos,Literatura,Paula Carballeira , il. Sonja Danowski ; transl. Jon Brokenbrow
7,A ilha encantada : versão para jovens de A tempestade de William Shakespeare,Hélia Correia,"Lisboa : Relógio D'Água, 2019",1,Antes 2017,12 - 14 anos,Literatura,Hélia Correia,
8,O mundo em que vivi,Ilse Losa,"Porto : Afrontamento, 2019",1,Antes 2017,12 - 14 anos,Literatura,Ilse Losa,
9,O alienista,Machado de Assis ; il. Daniel Silvestre da Silva,"Porto : Porto Ed., 2019",1,Antes 2017,12 - 14 anos,Literatura,Machado de Assis , il. Daniel Silvestre da Silva
10,Histórias da terra e do mar,Sophia de Mello Breyner Andresen ; pref. de Gustavo Rubim,"Porto : Assírio & Alvim, 2019",1,Antes 2017,12 - 14 anos,Literatura,Sophia de Mello Breyner Andresen , pref. de Gustavo Rubim
11,Dentro de uma caixa,José Jorge Letria ; il. Ana Afonso,"Alfragide : Caminho, 2018",1,Antes 2017,12 - 14 anos,Literatura,José Jorge Letria , il. Ana Afonso
12,A mãe : romance,Pearl S. Buck ; trad. Isabel Risques,"Alfragide : Dom Quixote, 2018",1,Antes 2017,12 - 14 anos,Literatura,Pearl S. Buck , trad. Isabel Risques
13,A volta ao mundo em 80 dias,Júlio Verne ; trad. A. M. Cunha,"Lisboa : 11x17, 2018",1,Antes 2017,12 - 14 anos,Literatura,Júlio Verne , trad. A. M. Cunha
14,O fantasma de Canterville,Oscar Wilde ; trad. Maria Manuela Novais Santos ; il. Ângela Vieira,"Porto : Porto Ed., 2018",1,Antes 2017,12 - 14 anos,Literatura,Oscar Wilde , trad. Maria Manuela Novais Santos ; il. Ângela Vieira
15,Contos,Eça de Queiroz ; fixação do texto e notas de Helena Cidade Moura,"Porto : Livros do Brasil, 2018",1,Antes 2017,12 - 14 anos,Literatura,Eça de Queiroz , fixação do texto e notas de Helena Cidade Moura
16,Cinco semanas em balão : viagem através da África,Júlio Verne ; trad. Francisco Augusto Correia Barata,"Lisboa : 11x17, 2018",1,Antes 2017,12 - 14 anos,Literatura,Júlio Verne , trad. Francisco Augusto Correia Barata
17,O diário de Anne Frank : versão definitiva,trad. Elsa T. S. Vieira,"Porto : Livros do Brasil, 2018",1,Antes 2017,12 - 14 anos,Literatura,trad. Elsa T. S. Vieira,
18,Vanessa vai à luta,Luísa Costa Gomes ; il. André Caetano,"Porto : Porto Ed., 2018",1,Antes 2017,12 - 14 anos,Literatura,Luísa Costa Gomes , il. André Caetano
19,O mundo em que vivi,Ilse Losa,"Porto : Afrontamento, 2018",1,Antes 2017,12 - 14 anos,Literatura,Ilse Losa,
20,O bojador,Sophia de Mello Breyner Andresen ; il. de João Catarino,"Porto : Porto Ed., 2018",2,Antes 2017,12 - 14 anos,Literatura,Sophia de Mello Breyner Andresen , il. de João Catarino
21,Cartas da Beatriz,Maria Teresa Maia Gonzalez,"Lisboa : Letrarium, 2018",2,Antes 2017,12 - 14 anos,Literatura,Maria Teresa Maia Gonzalez,
22,O estrangeiro,Albert Camus ; trad. de António Quadros,"Lisboa : Livros do Brasil, 2018",2,Antes 2017,12 - 14 anos,Literatura,Albert Camus , trad. de António Quadros
23,A coisa terrível que aconteceu a Barnaby Brocket,John Boyne ; il. de Oliver Jeffers ; trad. Irene Guimarães,"Lisboa : Bertrand, 2018",2,Antes 2017,12 - 14 anos,Literatura,John Boyne , il. de Oliver Jeffers ; trad. Irene Guimarães
24,Vanessa vai à luta,Luísa Costa Gomes ; il. André Caetano,"Porto : Porto Ed., 2017",2,Antes 2017,12 - 14 anos,Literatura,Luísa Costa Gomes , il. André Caetano
